iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
1   1511.3556143667345    438.90851158162974   41.76763727561694    1.0 
2   1261.313123084988    81.1776430889398   21.622296047850316    1.0 
3   1227.2198971716869    26.14844608209183   9.388262493986607    1.0 
4   1220.4407801148823    26.075504173553423   13.165349042527653    0.5 
5   1214.4468642330564    2.296268265919448   3.377941574248194    1.0 
6   1213.1415357735325    1.6485543379438865   2.75944586047197    1.0 
7   1212.819254289127    2.202016070555346   3.713868379145628    0.5 
8   1212.3259388116999    0.28964810626083753   1.0370764309073244    1.0 
9   1212.2002396599573    0.32149240721134487   1.3104872319880323    1.0 
10   1212.1833889656627    0.5803928092363604   2.0593038997607405    0.5 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
11   1212.0595185686138    0.07887608668431108   0.4741753349990374    1.0 
12   1212.0230041521518    0.11985191261776625   0.7690108136827368    1.0 
13   1211.9941173000775    0.22863086446476372   1.1449528864803356    1.0 
14   1211.9731721890942    0.47483463237326246   1.733075244717197    0.5 
15   1211.8542197770134    0.13501524631835693   1.0052275097902985    1.0 
16   1211.7345849135513    0.23303400497721466   1.2066443228848707    1.0 
17   1211.5418806577686    0.4229380141478653   1.6966014749129226    1.0 
18   1211.2227443585414    0.7922374398160958   2.0320038095947552    1.0 
19   1210.6667112815685    1.552206458911847   3.091065041001802    1.0 
20   1209.6561789610303    3.1404315719069404   3.7426265255457025    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
21   1207.6599789567329    6.5047077180622725   6.275826506479774    1.0 
22   1203.4969846635192    14.159456317248472   7.294701598416121    1.0 
23   1194.6229703729641    25.00089077663108   12.152112973928626    1.0 
24   1180.753004314587    41.44270811762621   14.036307405150694    1.0 
25   1169.9115562113045    44.11625846282907   15.343598328862857    1.0 
26   1165.71157106296    72.65117429986604   20.72318829535385    1.0 
27   1164.0582557360394    79.91707275944073   19.29076750944271    0.5 
28   1143.7610735900257    10.637959087974263   7.875918717949928    1.0 
29   1136.156769753221    8.504388438213258   6.569591329299042    1.0 
30   1130.0206269525877    8.212745100808196   5.683049129393433    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
31   1124.94644657088    8.261734496145442   7.18823852547752    1.0 
32   1120.9169474885246    11.105020572003632   6.921063390845701    1.0 
33   1117.8039888326568    14.172975532752062   8.46395044425847    1.0 
34   1116.2676569672597    24.387686044243534   11.061820001840154    0.5 
35   1110.7545164602689    4.454634579247556   5.7648932115661315    1.0 
36   1107.5746832842576    5.201845703851708   5.037920421175744    1.0 
37   1104.6167960809544    5.6782319224773286   6.35148158300589    1.0 
38   1102.2428653060201    8.333499483867682   6.016345888170584    1.0 
39   1100.3599456504821    11.219717863846538   7.5457614607166725    1.0 
40   1099.5551235972573    19.78881364363337   9.13433372793441    0.5 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
