iter        J                  ΔJ                   |d|             α       
34   1191.335854245534    0.8908121583289761   1.4298347142933594    1.0 
35   1190.453454996954    1.0643193816314866   1.312127000401092    1.0 
36   1189.3917431961884    1.626673293554424   7.073784189870064    1.0 
37   1188.1123598898994    0.9673575630280369   1.3599700808825286    1.0 
38   1187.148864394139    0.9328842511579193   1.2094334063457026    1.0 
39   1186.219338982602    0.9472488754283753   1.062740862215194    1.0 
40   1185.270261877314    0.9385359737863982   0.9704060895993829    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
41   1184.3288292524812    0.941791695183278   0.9091557765094641    1.0 
42   1183.3822595556676    1.0201755129204118   1.0235676128853377    1.0 
43   1182.3603322117285    1.0436359845238   0.9367463560368435    1.0 
44   1181.31358949559    2.069361469775134   7.582992044416246    1.0 
45   1179.6571258974595    1.2098810177919823   1.364613674320989    1.0 
46   1178.44564169257    1.2821830555200175   1.2754634138009073    1.0 
47   1177.1502812903916    1.4688021844466512   1.2481102970922873    1.0 
48   1175.6662281361794    1.3676226642663076   1.1663433196060042    1.0 
49   1174.2958684602402    12.341004610529986   16.19969071528789    1.0 
50   1166.403868087248    11.84009770138419   17.119327104347008    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
51   1157.792878351377    4.501143837087854   3.7400480094682167    1.0 
52   1153.473024225971    2.9617669809793563   3.556473267245253    1.0 
53   1150.4785577755292    2.6124793154650283   2.9091817668504576    1.0 
54   1147.8321983452238    2.512162061185045   2.8686584676738103    1.0 
55   1145.2833045612356    3.914255236396601   11.43333263017627    1.0 
56   1142.1106942401964    2.3079873861193416   2.8675250493770945    1.0 
57   1139.7774803401549    2.212087086742264   2.856854354698589    1.0 
58   1137.5406153091749    3.9203606008986913   11.921491371565429    1.0 
59   1134.4662609883771    2.095032849540795   2.672911522070116    1.0 
60   1132.3600911673286    1.99651378360763   2.6275153985815036    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
61   1130.346098773272    2.209884531846893   4.8099908082964795    1.0 
62   1128.2996602196715    3.181050772482506   10.793873992913841    1.0 
63   1125.7885868309056    1.724976092314734   2.3787167831956006    1.0 
64   1124.0523068177035    1.7364295782646266   2.3745166010550776    1.0 
65   1122.3041017078224    1.7548436754055274   2.2274626493728786    1.0 
66   1120.54038099632    2.9515152809601424   10.44447317425705    1.0 
67   1118.2321486862047    1.706148390193457   2.1645066748582176    1.0 
68   1116.5167687975404    1.5894890103074102   2.198340438816748    1.0 
69   1114.9241916314472    1.7769425167348598   2.167767321887913    1.0 
70   1113.1545340398873    2.9657838836526818   10.871449572032247    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
71   1110.9156397162685    1.9228527416846635   6.025108169272376    1.0 
72   1109.2621493470763    1.4245132903689546   2.164292242747685    1.0 
73   1107.836473393716    1.4280428347953467   2.0527898607649147    1.0 
74   1106.4089080546066    2.5613073581709886   10.193335253356384    1.0 
75   1104.4908563356428    1.3409481111296162   1.8917092177586223    1.0 
76   1103.14777930966    1.2687072461452458   1.9191204512888793    1.0 
77   1101.8748793352831    1.4483809245523693   1.954228263978954    1.0 
78   1100.4421282451992    2.5944864149590465   10.589329140829909    1.0 
79   1098.5562948110355    1.2363732252182418   1.7211028033472329    1.0 
80   1097.329105603909    1.5070197386921216   5.503337615288375    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
81   1096.0379889981753    1.0537078021264756   1.82894158623865    1.0 
82   1094.9830446428193    1.1292038934885582   1.762897967229701    1.0 
83   1093.8609449221465    2.6160987765290415   10.935101364943918    1.0 
84   1091.9886359689015    0.9876284415659858   1.721372791776529    1.0 
85   1090.9980321795265    0.939027215491451   1.7132086656778787    1.0 
86   1090.0569353641868    0.9284892704244162   1.6210416825462535    1.0 
87   1089.131806713109    0.981406434153365   1.54269459107397    1.0 
88   1088.1570524872675    2.2387370142143146   10.471671294724485    1.0 
89   1086.6323763174553    1.0573363804470517   4.810274533485213    1.0 
90   1085.7390474841322    0.7690396416336805   1.5307675508761207    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
91   1084.9721291048866    0.7362905875595326   1.4291049741731665    1.0 
92   1084.2353502391147    0.7968358505042293   1.3387842367613132    1.0 
93   1083.440227755669    0.7695031914137594   1.285568056047703    1.0 
94   1082.6696800999225    1.7904638891154823   9.519149008630231    1.0 
95   1081.4586199092375    0.6211198448760482   1.2876803340506195    1.0 
96   1080.8342920924204    0.5556032188994254   1.3124604351284415    1.0 
